                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.3788,                 1.1679,                 1.6289,                0.92072,                0.86387,                0.90654,                0.64735,                 1.1321,                 0.8588,                 1.4182,             0.00023829,             0.00023829,             0.00023829
                    103,                 1.4439,                 1.2796,                 1.7448,                0.90808,                0.86378,                0.91385,                0.64416,                 1.1373,                0.97113,                   1.43,              0.0002265,              0.0002265,              0.0002265
                    104,                 1.4373,                 1.1834,                 1.6848,                0.94704,                0.82381,                0.90826,                0.61575,                 1.2136,                 1.2162,                 1.4827,             0.00021471,             0.00021471,             0.00021471
                    105,                 1.4207,                  1.197,                  1.662,                0.93312,                0.82785,                0.91783,                0.63755,                 1.1816,                 1.0779,                 1.4637,             0.00020292,             0.00020292,             0.00020292
                    106,                 1.3883,                 1.2137,                 1.6874,                0.94273,                0.83557,                0.92667,                0.64563,                 1.1404,                0.94079,                 1.4345,             0.00019113,             0.00019113,             0.00019113
                    107,                  1.419,                 1.1846,                 1.6507,                0.97396,                0.84688,                0.93151,                 0.6614,                 1.1094,                0.84715,                 1.4162,             0.00017934,             0.00017934,             0.00017934
                    108,                 1.4043,                 1.1834,                 1.6776,                 0.9944,                0.81768,                0.92439,                0.67019,                 1.0743,                0.80381,                 1.3953,             0.00016755,             0.00016755,             0.00016755
                    109,                 1.3745,                 1.1453,                 1.6343,                0.98811,                0.81877,                0.93382,                 0.6707,                  1.071,                0.80572,                  1.392,             0.00015576,             0.00015576,             0.00015576
                    110,                 1.3014,                 1.0751,                 1.5998,                0.94927,                0.84317,                0.93423,                0.67438,                 1.0719,                 0.8055,                 1.3913,             0.00014397,             0.00014397,             0.00014397
                    111,                 1.2894,                 1.2756,                 1.6866,                0.95892,                0.84404,                0.93568,                0.68355,                 1.0745,                0.81042,                 1.3914,             0.00013218,             0.00013218,             0.00013218
                    112,                 1.2508,                 1.1581,                 1.6617,                0.94575,                0.84572,                0.94015,                0.67291,                 1.0893,                0.83224,                 1.3998,             0.00012039,             0.00012039,             0.00012039
                    113,                 1.2222,                 1.1098,                 1.6053,                0.93169,                0.85865,                0.94228,                0.66804,                 1.0947,                0.84306,                 1.4005,              0.0001086,              0.0001086,              0.0001086
                    114,                 1.2461,                 1.1839,                 1.6308,                0.98874,                0.82042,                0.94248,                0.66579,                 1.0932,                0.85728,                  1.396,             9.6815e-05,             9.6815e-05,             9.6815e-05
                    115,                 1.2779,                 1.1299,                  1.647,                0.99148,                0.81954,                0.94341,                0.66575,                 1.0888,                0.85669,                 1.3891,             8.5026e-05,             8.5026e-05,             8.5026e-05
                    116,                 1.1814,                 1.1385,                  1.653,                0.94424,                0.85536,                0.94363,                0.67756,                 1.0633,                0.82201,                 1.3614,             7.3236e-05,             7.3236e-05,             7.3236e-05
                    117,                 1.2437,                 1.2035,                 1.6574,                0.93822,                0.85577,                0.93137,                0.68297,                 1.0513,                0.80134,                 1.3492,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    118,                 1.1814,                 1.1066,                 1.6166,                 0.9364,                0.86012,                 0.9455,                 0.6844,                 1.0435,                0.78596,                 1.3411,             4.9658e-05,             4.9658e-05,             4.9658e-05
                    119,                 1.1581,                 1.0387,                 1.5458,                0.93744,                0.86975,                0.94365,                0.68022,                 1.0416,                0.77859,                 1.3372,             3.7869e-05,             3.7869e-05,             3.7869e-05
                    120,                 1.2266,                 1.1213,                 1.6107,                 0.9468,                0.86513,                 0.9409,                0.68103,                 1.0401,                0.77352,                 1.3325,             2.6079e-05,             2.6079e-05,             2.6079e-05
